,ID,CNAE,CNAE_DESCRIPCION,IMPORT_EXPORT,ULT_ACTOMERCANTIL,TAM_EMPRESA,Estado,ACC_EXTRAN,ACC_EMPRESA,NUMACCIONISTAS,INFO_ADMIN,ACT_MEDIOS,CARGOS_ADMIN,ESTRUCTURA,MUJERES_CONSEJO,InicioActividad,frmJuridica,codPostal,AÑO CONCESION,IMPORTE NOMINAL,DESCRIPCIÓN,ORGANISMO,Bal5,ROA_1,LIQ_1,END_1,EMP_1,A-I-INM_INT_1,A-II-INM_MAT_1,A-III-INV_INM_1,A-IV-INV_GRU_1,A-V-INV_FLP_1,A-VI-IMP_DIF_1,A-VII-DEU_COM_1,B-II-EXISTENCIAS_1,B-III-DEU_COM_1,B-IV-DEU_COM_1,B-V-INV_FCP_1,B-VI-PER_CP_1,B-VII-EFECTIVO_1,A-PN-1_FP_1,A-PN-2_AJ_1,A-PN-3_SUBV_1,B-I-PROV_LP_1,B-II-DEU_LP_1,B-III-DEU_GRU_LP_1,B-IV-PAS_IMP_DIF_1,B-V-PER_LP_1,B-VI-ACREE_COM_LP_1,B-VII-DEU_ESP_LP_1,C-I-PAS_VINACTNCVENTA_1,C-II-PROV_CP_1,C-III-DEU_CP_1,C-IV-DEU_GRU_CP_1,C-V-ACREE_COM_CP_1,C-VI-PER_CP_1,C-VII-DEU_ESP_CP_1,VENTAS_FINAL,A-1-VENTAS_3,A-1-VENTAS_2,A-1-VENTAS_1,A-4-APROVISIONA_1,A-5-OTROSINGRESOS_1,A-6-GASTOSPERSONAL_1,A-7-OTROSGASTOS_1,A-8-AMORT_INM_1,A-13-OTROSRESULT_1,A-14-ING_FIN_1,A-15-GAS_FIN_1,A-17-DIF_CAMBIO_1,A-20-IMPUESTOS_1,ROA_34_diff,ROA_23_diff,ROA_12_diff,LIQ_34_diff,LIQ_23_diff,LIQ_12_diff,END_34_diff,END_23_diff,END_12_diff,EMP_34_diff,EMP_23_diff,EMP_12_diff,A-I-INM_INT_34_diff,A-I-INM_INT_23_diff,A-I-INM_INT_12_diff,A-II-INM_MAT_34_diff,A-II-INM_MAT_23_diff,A-II-INM_MAT_12_diff,A-III-INV_INM_34_diff,A-III-INV_INM_23_diff,A-III-INV_INM_12_diff,A-IV-INV_GRU_34_diff,A-IV-INV_GRU_23_diff,A-IV-INV_GRU_12_diff,A-V-INV_FLP_34_diff,A-V-INV_FLP_23_diff,A-V-INV_FLP_12_diff,A-VI-IMP_DIF_34_diff,A-VI-IMP_DIF_23_diff,A-VI-IMP_DIF_12_diff,A-VII-DEU_COM_34_diff,A-VII-DEU_COM_23_diff,A-VII-DEU_COM_12_diff,B-II-EXISTENCIAS_34_diff,B-II-EXISTENCIAS_23_diff,B-II-EXISTENCIAS_12_diff,B-III-DEU_COM_34_diff,B-III-DEU_COM_23_diff,B-III-DEU_COM_12_diff,B-IV-DEU_COM_34_diff,B-IV-DEU_COM_23_diff,B-IV-DEU_COM_12_diff,B-V-INV_FCP_34_diff,B-V-INV_FCP_23_diff,B-V-INV_FCP_12_diff,B-VI-PER_CP_34_diff,B-VI-PER_CP_23_diff,B-VI-PER_CP_12_diff,B-VII-EFECTIVO_34_diff,B-VII-EFECTIVO_23_diff,B-VII-EFECTIVO_12_diff,A-PN-1_FP_12_diff,A-PN-1_FP_23_diff,A-PN-1_FP_34_diff,A-PN-2_AJ_12_diff,A-PN-2_AJ_23_diff,A-PN-2_AJ_34_diff,A-PN-3_SUBV_12_diff,A-PN-3_SUBV_23_diff,A-PN-3_SUBV_34_diff,B-I-PROV_LP_12_diff,B-I-PROV_LP_23_diff,B-I-PROV_LP_34_diff,B-II-DEU_LP_12_diff,B-II-DEU_LP_23_diff,B-II-DEU_LP_34_diff,B-III-DEU_GRU_LP_12_diff,B-III-DEU_GRU_LP_23_diff,B-III-DEU_GRU_LP_34_diff,B-IV-PAS_IMP_DIF_12_diff,B-IV-PAS_IMP_DIF_23_diff,B-IV-PAS_IMP_DIF_34_diff,B-V-PER_LP_12_diff,B-V-PER_LP_23_diff,B-V-PER_LP_34_diff,B-VI-ACREE_COM_LP_12_diff,B-VI-ACREE_COM_LP_23_diff,B-VI-ACREE_COM_LP_34_diff,B-VII-DEU_ESP_LP_12_diff,B-VII-DEU_ESP_LP_23_diff,B-VII-DEU_ESP_LP_34_diff,C-I-PAS_VINACTNCVENTA_12_diff,C-I-PAS_VINACTNCVENTA_23_diff,C-I-PAS_VINACTNCVENTA_34_diff,C-II-PROV_CP_12_diff,C-II-PROV_CP_23_diff,C-II-PROV_CP_34_diff,C-III-DEU_CP_12_diff,C-III-DEU_CP_23_diff,C-III-DEU_CP_34_diff,C-IV-DEU_GRU_CP_12_diff,C-IV-DEU_GRU_CP_23_diff,C-IV-DEU_GRU_CP_34_diff,C-V-ACREE_COM_CP_12_diff,C-V-ACREE_COM_CP_23_diff,C-V-ACREE_COM_CP_34_diff,C-VI-PER_CP_12_diff,C-VI-PER_CP_23_diff,C-VI-PER_CP_34_diff,C-VII-DEU_ESP_CP_12_diff,C-VII-DEU_ESP_CP_23_diff,C-VII-DEU_ESP_CP_34_diff,A-1-VENTAS_34_diff,A-1-VENTAS_23_diff,A-1-VENTAS_12_diff,A-4-APROVISIONA_34_diff,A-4-APROVISIONA_23_diff,A-4-APROVISIONA_12_diff,A-5-OTROSINGRESOS_34_diff,A-5-OTROSINGRESOS_23_diff,A-5-OTROSINGRESOS_12_diff,A-6-GASTOSPERSONAL_34_diff,A-6-GASTOSPERSONAL_23_diff,A-6-GASTOSPERSONAL_12_diff,A-7-OTROSGASTOS_34_diff,A-7-OTROSGASTOS_23_diff,A-7-OTROSGASTOS_12_diff,A-8-AMORT_INM_34_diff,A-8-AMORT_INM_23_diff,A-8-AMORT_INM_12_diff,A-13-OTROSRESULT_34_diff,A-13-OTROSRESULT_23_diff,A-13-OTROSRESULT_12_diff,A-14-ING_FIN_34_diff,A-14-ING_FIN_23_diff,A-14-ING_FIN_12_diff,A-15-GAS_FIN_34_diff,A-15-GAS_FIN_23_diff,A-15-GAS_FIN_12_diff,A-17-DIF_CAMBIO_34_diff,A-17-DIF_CAMBIO_23_diff,A-17-DIF_CAMBIO_12_diff,A-20-IMPUESTOS_34_diff,A-20-IMPUESTOS_23_diff,A-20-IMPUESTOS_12_diff,Subvencion,ALTO_CRECIMIENTO_CALCU,GACELA_CALCU,MODELO_CALCU
0,100017,7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,Nada,2020-12-14 01:00:00,Microempresa,Viva,,,,SI,Activa en Redes,1.0,,SI,2016-01-07 01:00:00,A,18600,2017.0,370198.3,"Resolución de 29 de diciembre de 2015, de la Agencia de Innovación y Desarrollo de Andalucía, por la que se dispone la publicación de la Resolución de la Dirección General de la Agencia de Innovación y Desarrollo de Andalucía, convocatoria PYME 2016 - Orden de 19 de febrero de 2015, por el que se aprueban las b.reguladoras para la concesión de incentivos en régimen c.no competitiva a las pequeñas y medianas empresas para el desarrollo industrial y la creación empleo en Andalucía en periodo 2015-18 - Web: http://juntadeandalucia.es/boja/2015/37/2",ANDALUCIA - AGENCIA DE INNOVACION Y DESARROLLO DE ANDALUCIA,1.0,-5.33,,,,,,,,0.0,,,,10.0,,,,49.0,59.0,,,,,,,,,,,,,,,,,171.0,51.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41731266149870816,-0.7529524417491222,4.878048780487805,-0.4441675587455908,-0.8791350273618123,,0.1609640991066914,,,1.6666666666666665,,,-0.17647058823529416,,,-0.08425275827482448,,,,,,,,,-0.8695652173913043,0.0,inf,1.2222222222222223,,,,,,,,,-0.7941176470588236,101.0,-0.8,,,,,,,,,,0.6111111111111112,1.5714285714285716,-0.5714285714285714,-0.23728813559322037,2.3555555555555556,-0.6622516556291391,,,,,,-0.24926686217008798,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,0.04444444444444451,,,,,,,2.3529411764705883,inf,,0.25,-inf,,inf,,,2.5454545454545454,-inf,,0.012195121951219523,4.857142857142857,3.666666666666667,2.03125,-inf,,,,,,,,0.33333333333333326,-inf,,,,,0.22222222222222232,inf,,1,0,0,1
1,100017,7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,Nada,2020-12-14 01:00:00,Microempresa,Viva,,,,SI,Activa en Redes,1.0,,SI,2016-01-07 01:00:00,A,18600,2019.0,8800.0,"Resolución de 3 de julio de 2018, de la D.Gerencia del SAE por la que se convocan para 2018 incentivos a la creación de empleo estable, regulados por la Orden de 6 de mayo de 2018 que establecen las b.r. en rég. de conc. no comp.,Progr. Fom.Empleo Indus. - Orden de 6 de mayo de 2018,por la que se establecen las b.r. para la conc. de subv. en rég. de conc. no comp. dirigidas a la Inserción Laboral en And. en el Marco del programa de Fomento del Empelo Industrial en And. y la Iniciativa Bono de Empleo. - Web: http://juntadeandalucia.es/boja/2018/88/1",ANDALUCIA - DIRECCION GENERAL DE POLITICAS ACTIVAS DE EMPLEO,1.0,-5.33,,,,,,,,0.0,,,,10.0,,,,49.0,59.0,,,,,,,,,,,,,,,,,171.0,51.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41731266149870816,-0.7529524417491222,4.878048780487805,-0.4441675587455908,-0.8791350273618123,,0.1609640991066914,,,1.6666666666666665,,,-0.17647058823529416,,,-0.08425275827482448,,,,,,,,,-0.8695652173913043,0.0,inf,1.2222222222222223,,,,,,,,,-0.7941176470588236,101.0,-0.8,,,,,,,,,,0.6111111111111112,1.5714285714285716,-0.5714285714285714,-0.23728813559322037,2.3555555555555556,-0.6622516556291391,,,,,,-0.24926686217008798,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,0.04444444444444451,,,,,,,2.3529411764705883,inf,,0.25,-inf,,inf,,,2.5454545454545454,-inf,,0.012195121951219523,4.857142857142857,3.666666666666667,2.03125,-inf,,,,,,,,0.33333333333333326,-inf,,,,,0.22222222222222232,inf,,1,0,0,1
2,100017,7219,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,Nada,2020-12-14 01:00:00,Microempresa,Viva,,,,SI,Activa en Redes,1.0,,SI,2016-01-07 01:00:00,A,18600,2020.0,8000.0,"Resolución de 3 de julio de 2018, de la D.Gerencia del SAE por la que se convocan para 2018 incentivos a la creación de empleo estable, regulados por la Orden de 6 de mayo de 2018 que establecen las b.r. en rég. de conc. no comp.,Progr. Fom.Empleo Indus. - Orden de 6 de mayo de 2018,por la que se establecen las b.r. para la conc. de subv. en rég. de conc. no comp. dirigidas a la Inserción Laboral en And. en el Marco del programa de Fomento del Empelo Industrial en And. y la Iniciativa Bono de Empleo. - Web: http://juntadeandalucia.es/boja/2018/88/1",ANDALUCIA - DIRECCION GENERAL DE POLITICAS ACTIVAS DE EMPLEO,1.0,-5.33,,,,,,,,0.0,,,,10.0,,,,49.0,59.0,,,,,,,,,,,,,,,,,171.0,51.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41731266149870816,-0.7529524417491222,4.878048780487805,-0.4441675587455908,-0.8791350273618123,,0.1609640991066914,,,1.6666666666666665,,,-0.17647058823529416,,,-0.08425275827482448,,,,,,,,,-0.8695652173913043,0.0,inf,1.2222222222222223,,,,,,,,,-0.7941176470588236,101.0,-0.8,,,,,,,,,,0.6111111111111112,1.5714285714285716,-0.5714285714285714,-0.23728813559322037,2.3555555555555556,-0.6622516556291391,,,,,,-0.24926686217008798,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,inf,0.04444444444444451,,,,,,,2.3529411764705883,inf,,0.25,-inf,,inf,,,2.5454545454545454,-inf,,0.012195121951219523,4.857142857142857,3.666666666666667,2.03125,-inf,,,,,,,,0.33333333333333326,-inf,,,,,0.22222222222222232,inf,,1,0,0,1
3,100020,2822,Fabricación de maquinaria de elevación y manipulación,Nada,2019-02-04 01:00:00,Pequeña,Viva,,,1.0,SI,Activa en Redes,4.0,,NO,2018-01-03 01:00:00,A,18320,2020.0,146004.93,"Resolución de 14 de octubre de 2020, por la que se efectúa convocatoria para la concesión de ayudas, en rég. de conc.no comp., a las PYMES industriales afectadas por las consecuencias económicas de la pandemia SARS-COV-2. - Decreto-ley 26/2020, de 13 de octubre, por el que se establece una medida extraordinaria y urgente en el ámbito económico para facilitar ayudas a las pymes industriales afectadas por las consecuencias económicas de la pandemia SARS-coV-2 - Web: https://juntadeandalucia.es/boja/2020/564/BOJA20-564-00037-11909-01_00179205.pdf",ANDALUCIA - AGENCIA DE INNOVACION Y DESARROLLO DE ANDALUCIA,,66.96,220.37,0.05,28.0,,6.0,,,4.0,,,28.0,700.0,3.0,,,445.0,653.0,,,,,,,,,,,,1.0,,533.0,,,,3768.0,4419.0,2935.0,-1207.0,7.0,-741.0,-230.0,-1.0,3.0,0.0,-3.0,0.0,-198.0,,-0.11248236953455559,-0.15292712066905612,,0.9215841399851081,-0.02491264691201167,,-0.5365853658536586,7.199999999999999,,-0.18918918918918914,0.3214285714285714,,,,,9.0,-0.33333333333333337,,,,,,,,0.0,0.0,,,,,,,,0.30000000000000004,0.0714285714285714,,0.2760736196319018,0.39714285714285724,,,,,,,,,,,-0.09925373134328364,2.0112359550561796,0.9234303215926494,0.536624203821656,,,,,,-0.4285714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,-0.5,,,,,1.0318949343339585,-0.44690674053554935,,,,,,,,,-0.14731839782756284,0.5056218057921635,,-0.21192052980132448,0.12593206296603143,,11.916666666666666,0.7142857142857142,,-0.09104258443465496,0.8380566801619433,,-0.06349206349206349,0.6434782608695653,,0.5,1.0,,2.3333333333333335,1.0,,,,,-0.33333333333333337,0.0,,,,,-0.08484848484848484,0.6666666666666667,1,0,0,0
4,100020,2822,Fabricación de maquinaria de elevación y manipulación,Nada,2019-02-04 01:00:00,Pequeña,Viva,,,1.0,SI,Activa en Redes,4.0,,NO,2018-01-03 01:00:00,A,18320,2019.0,11000.0,"Resolución de 3 de julio de 2018, de la D.Gerencia del SAE por la que se convocan para 2018 incentivos a la creación de empleo estable, regulados por la Orden de 6 de mayo de 2018 que establecen las b.r. en rég. de conc. no comp.,Progr. Fom.Empleo Indus. - Orden de 6 de mayo de 2018,por la que se establecen las b.r. para la conc. de subv. en rég. de conc. no comp. dirigidas a la Inserción Laboral en And. en el Marco del programa de Fomento del Empelo Industrial en And. y la Iniciativa Bono de Empleo. - Web: http://juntadeandalucia.es/boja/2018/88/1",ANDALUCIA - DIRECCION GENERAL DE POLITICAS ACTIVAS DE EMPLEO,,66.96,220.37,0.05,28.0,,6.0,,,4.0,,,28.0,700.0,3.0,,,445.0,653.0,,,,,,,,,,,,1.0,,533.0,,,,3768.0,4419.0,2935.0,-1207.0,7.0,-741.0,-230.0,-1.0,3.0,0.0,-3.0,0.0,-198.0,,-0.11248236953455559,-0.15292712066905612,,0.9215841399851081,-0.02491264691201167,,-0.5365853658536586,7.199999999999999,,-0.18918918918918914,0.3214285714285714,,,,,9.0,-0.33333333333333337,,,,,,,,0.0,0.0,,,,,,,,0.30000000000000004,0.0714285714285714,,0.2760736196319018,0.39714285714285724,,,,,,,,,,,-0.09925373134328364,2.0112359550561796,0.9234303215926494,0.536624203821656,,,,,,-0.4285714285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,-0.5,,,,,1.0318949343339585,-0.44690674053554935,,,,,,,,,-0.14731839782756284,0.5056218057921635,,-0.21192052980132448,0.12593206296603143,,11.916666666666666,0.7142857142857142,,-0.09104258443465496,0.8380566801619433,,-0.06349206349206349,0.6434782608695653,,0.5,1.0,,2.3333333333333335,1.0,,,,,-0.33333333333333337,0.0,,,,,-0.08484848484848484,0.6666666666666667,1,0,0,0
5,100021,4778,Otro comercio al por menor de artículos nuevos en establecimientos especializados,Nada,2022-03-31 02:00:00,Microempresa,Viva,,,1.0,SI,Activa en Redes y Medios,2.0,,SI,2017-01-12 01:00:00,A,24009,2020.0,105379.2,"Resolución de 3 de mayo de 2018, de la Presidenta del Instituto para la Competitividad Empresarial, de convocatoria en concurrencia no competitiva de concesión de subvenciones (reg. exención) de realización de proyectos de I+D, cofinan por el FEDER - Orden EYH/1028/2017 de 14 de noviembre de 2017, por la que se aprueban las bases reguladoras de las subvenciones para la realización de proyectos de I+D+i en Castilla y León - Web: http://bocyl.jcyl.es/boletines/2017/11/23/pdf/BOCYL-D-23112017-5.pdf",CASTILLA Y LEON - INSTITUTO PARA LA COMPETITIVIDAD EMPRESARIAL DE CASTILLA Y LEON,,1.45,95.4,91.27,4.0,52.0,39.0,,,,,,,438.0,,,,837.0,30.0,,,,,,,,,,,,1247.0,,89.0,,,2907.0,1966.0,887.0,1290.0,-467.0,0.0,-81.0,-706.0,-16.0,0.0,0.0,0.0,0.0,-5.0,0.7864583333333335,0.30612244897959173,0.01379310344827589,0.46848989298454224,0.2483036471586091,-0.01132075471698124,-0.03160029892174665,0.05140868784375341,-0.023885175851868,0.0,-0.16666666666666663,0.5,-0.15909090909090906,-0.17757009345794394,1.0576923076923075,0.7575757575757576,-0.17500000000000004,0.02564102564102555,,,,,,,0.8760330578512396,,,,,,,,,,,,-0.841648590021692,-0.1968641114982579,0.3105022831050228,,,,,,,,,,0.1313993174061434,0.1258405379442844,0.24372759856630832,0.6333333333333333,0.653061224489796,0.5061728395061729,,,,,,,,,,,,1.0294840294840295,,,,,,,,,,,,,,,,,,,,,,0.2582197273456295,-0.1395793499043977,-0.4311111111111111,,,,0.6067415730337078,-0.7342657342657343,0.07894736842105265,,,,,,,0.4786368260427263,1.216459977452086,-0.31240310077519384,0.6831476323119776,4.744,-0.4646680942184154,,,,-0.18556701030927836,-0.010204081632653073,1.4197530864197532,-0.13043478260869568,-0.3732970027247956,-0.4801699716713881,0.02857142857142847,0.4285714285714286,2.0625,-inf,,,1.0,inf,,3.0,-inf,,,,,0.5555555555555556,0.5,0.19999999999999996,1,0,0,1
6,100021,4778,Otro comercio al por menor de artículos nuevos en establecimientos especializados,Nada,2022-03-31 02:00:00,Microempresa,Viva,,,1.0,SI,Activa en Redes y Medios,2.0,,SI,2017-01-12 01:00:00,A,24009,2020.0,90298.8,"Resolución de 3 de mayo de 2018, de la Presidenta del Instituto para la Competitividad Empresarial, de convocatoria en concurrencia no competitiva de concesión de subvenciones (reg. exención) de realización de proyectos de I+D, cofinan por el FEDER - Orden EYH/1028/2017 de 14 de noviembre de 2017, por la que se aprueban las bases reguladoras de las subvenciones para la realización de proyectos de I+D+i en Castilla y León - Web: http://bocyl.jcyl.es/boletines/2017/11/23/pdf/BOCYL-D-23112017-5.pdf",CASTILLA Y LEON - INSTITUTO PARA LA COMPETITIVIDAD EMPRESARIAL DE CASTILLA Y LEON,,1.45,95.4,91.27,4.0,52.0,39.0,,,,,,,438.0,,,,837.0,30.0,,,,,,,,,,,,1247.0,,89.0,,,2907.0,1966.0,887.0,1290.0,-467.0,0.0,-81.0,-706.0,-16.0,0.0,0.0,0.0,0.0,-5.0,0.7864583333333335,0.30612244897959173,0.01379310344827589,0.46848989298454224,0.2483036471586091,-0.01132075471698124,-0.03160029892174665,0.05140868784375341,-0.023885175851868,0.0,-0.16666666666666663,0.5,-0.15909090909090906,-0.17757009345794394,1.0576923076923075,0.7575757575757576,-0.17500000000000004,0.02564102564102555,,,,,,,0.8760330578512396,,,,,,,,,,,,-0.841648590021692,-0.1968641114982579,0.3105022831050228,,,,,,,,,,0.1313993174061434,0.1258405379442844,0.24372759856630832,0.6333333333333333,0.653061224489796,0.5061728395061729,,,,,,,,,,,,1.0294840294840295,,,,,,,,,,,,,,,,,,,,,,0.2582197273456295,-0.1395793499043977,-0.4311111111111111,,,,0.6067415730337078,-0.7342657342657343,0.07894736842105265,,,,,,,0.4786368260427263,1.216459977452086,-0.31240310077519384,0.6831476323119776,4.744,-0.4646680942184154,,,,-0.18556701030927836,-0.010204081632653073,1.4197530864197532,-0.13043478260869568,-0.3732970027247956,-0.4801699716713881,0.02857142857142847,0.4285714285714286,2.0625,-inf,,,1.0,inf,,3.0,-inf,,,,,0.5555555555555556,0.5,0.19999999999999996,1,0,0,1
7,100021,4778,Otro comercio al por menor de artículos nuevos en establecimientos especializados,Nada,2022-03-31 02:00:00,Microempresa,Viva,,,1.0,SI,Activa en Redes y Medios,2.0,,SI,2017-01-12 01:00:00,A,24009,2020.0,19307.25,REAFIANZAMIENTO DEL PROGRAMA DE AVALES PARA PYMES 2020 PESCA - REAFIANZAMIENTO DEL PROGRAMA DE AVALES PARA PYMES 2019 PESCA - Web: https://www.boe.es/eli/es/l/1994/03/11/1,"MINISTERIO DE INDUSTRIA, COMERCIO Y TURISMO - COMPAÑIA ESPAÑOLA DE REAFIANZAMIENTO",,1.45,95.4,91.27,4.0,52.0,39.0,,,,,,,438.0,,,,837.0,30.0,,,,,,,,,,,,1247.0,,89.0,,,2907.0,1966.0,887.0,1290.0,-467.0,0.0,-81.0,-706.0,-16.0,0.0,0.0,0.0,0.0,-5.0,0.7864583333333335,0.30612244897959173,0.01379310344827589,0.46848989298454224,0.2483036471586091,-0.01132075471698124,-0.03160029892174665,0.05140868784375341,-0.023885175851868,0.0,-0.16666666666666663,0.5,-0.15909090909090906,-0.17757009345794394,1.0576923076923075,0.7575757575757576,-0.17500000000000004,0.02564102564102555,,,,,,,0.8760330578512396,,,,,,,,,,,,-0.841648590021692,-0.1968641114982579,0.3105022831050228,,,,,,,,,,0.1313993174061434,0.1258405379442844,0.24372759856630832,0.6333333333333333,0.653061224489796,0.5061728395061729,,,,,,,,,,,,1.0294840294840295,,,,,,,,,,,,,,,,,,,,,,0.2582197273456295,-0.1395793499043977,-0.4311111111111111,,,,0.6067415730337078,-0.7342657342657343,0.07894736842105265,,,,,,,0.4786368260427263,1.216459977452086,-0.31240310077519384,0.6831476323119776,4.744,-0.4646680942184154,,,,-0.18556701030927836,-0.010204081632653073,1.4197530864197532,-0.13043478260869568,-0.3732970027247956,-0.4801699716713881,0.02857142857142847,0.4285714285714286,2.0625,-inf,,,1.0,inf,,3.0,-inf,,,,,0.5555555555555556,0.5,0.19999999999999996,1,0,0,1
8,100021,4778,Otro comercio al por menor de artículos nuevos en establecimientos especializados,Nada,2022-03-31 02:00:00,Microempresa,Viva,,,1.0,SI,Activa en Redes y Medios,2.0,,SI,2017-01-12 01:00:00,A,24009,2020.0,15000.0,"Resolución de 14 de noviembre de 2019 de ICEX España Exportación e Inversiones E.P.E., M.P. por la que se convoca para 2019 y 2020 la concesión de subvenciones del programa de iniciación y consolidación de la exportación ICEX Next - Orden ICT/1063/2019, de 17 de octubre, por la que se establecen las bases reguladoras para la concesión de subvenciones del programa de iniciación y consolidación de la exportación de ICEX España Exportación e Inversiones, E.P.E., M.P. - Web: https://boe.es/boe/dias/2019/10/29/pdfs/BOE-A-2019-15504.pdf","MINISTERIO DE INDUSTRIA, COMERCIO Y TURISMO - ICEX ESPAÑA EXPORTACION E INVERSIONES, EP E., M.P.",,1.45,95.4,91.27,4.0,52.0,39.0,,,,,,,438.0,,,,837.0,30.0,,,,,,,,,,,,1247.0,,89.0,,,2907.0,1966.0,887.0,1290.0,-467.0,0.0,-81.0,-706.0,-16.0,0.0,0.0,0.0,0.0,-5.0,0.7864583333333335,0.30612244897959173,0.01379310344827589,0.46848989298454224,0.2483036471586091,-0.01132075471698124,-0.03160029892174665,0.05140868784375341,-0.023885175851868,0.0,-0.16666666666666663,0.5,-0.15909090909090906,-0.17757009345794394,1.0576923076923075,0.7575757575757576,-0.17500000000000004,0.02564102564102555,,,,,,,0.8760330578512396,,,,,,,,,,,,-0.841648590021692,-0.1968641114982579,0.3105022831050228,,,,,,,,,,0.1313993174061434,0.1258405379442844,0.24372759856630832,0.6333333333333333,0.653061224489796,0.5061728395061729,,,,,,,,,,,,1.0294840294840295,,,,,,,,,,,,,,,,,,,,,,0.2582197273456295,-0.1395793499043977,-0.4311111111111111,,,,0.6067415730337078,-0.7342657342657343,0.07894736842105265,,,,,,,0.4786368260427263,1.216459977452086,-0.31240310077519384,0.6831476323119776,4.744,-0.4646680942184154,,,,-0.18556701030927836,-0.010204081632653073,1.4197530864197532,-0.13043478260869568,-0.3732970027247956,-0.4801699716713881,0.02857142857142847,0.4285714285714286,2.0625,-inf,,,1.0,inf,,3.0,-inf,,,,,0.5555555555555556,0.5,0.19999999999999996,1,0,0,1
9,100021,4778,Otro comercio al por menor de artículos nuevos en establecimientos especializados,Nada,2022-03-31 02:00:00,Microempresa,Viva,,,1.0,SI,Activa en Redes y Medios,2.0,,SI,2017-01-12 01:00:00,A,24009,2020.0,6175.0,"Resolución de 5 de Noviembre de 2018, del ICE CyL, por la que se aprueba la convocatoria en concurrencia no competitiva para proyectos empresariales para la innovación en el ámbito tecnológico de las PYMES CyL, cofinanciadas con FEDER - ORDEN EYH/862/2018, de 18 de julio, por la que se aprueban las bases reguladoras de las subvenciones destinadas a financiar proyectos empresariales dirigidos a fomentar la innovación en el ámbito tecnológico de las PYMES de Castilla y León - Web: http://bocyl.jcyl.es/boletines/2018/08/02/pdf/BOCYL-D-02082018-1.pdf",CASTILLA Y LEON - INSTITUTO PARA LA COMPETITIVIDAD EMPRESARIAL DE CASTILLA Y LEON,,1.45,95.4,91.27,4.0,52.0,39.0,,,,,,,438.0,,,,837.0,30.0,,,,,,,,,,,,1247.0,,89.0,,,2907.0,1966.0,887.0,1290.0,-467.0,0.0,-81.0,-706.0,-16.0,0.0,0.0,0.0,0.0,-5.0,0.7864583333333335,0.30612244897959173,0.01379310344827589,0.46848989298454224,0.2483036471586091,-0.01132075471698124,-0.03160029892174665,0.05140868784375341,-0.023885175851868,0.0,-0.16666666666666663,0.5,-0.15909090909090906,-0.17757009345794394,1.0576923076923075,0.7575757575757576,-0.17500000000000004,0.02564102564102555,,,,,,,0.8760330578512396,,,,,,,,,,,,-0.841648590021692,-0.1968641114982579,0.3105022831050228,,,,,,,,,,0.1313993174061434,0.1258405379442844,0.24372759856630832,0.6333333333333333,0.653061224489796,0.5061728395061729,,,,,,,,,,,,1.0294840294840295,,,,,,,,,,,,,,,,,,,,,,0.2582197273456295,-0.1395793499043977,-0.4311111111111111,,,,0.6067415730337078,-0.7342657342657343,0.07894736842105265,,,,,,,0.4786368260427263,1.216459977452086,-0.31240310077519384,0.6831476323119776,4.744,-0.4646680942184154,,,,-0.18556701030927836,-0.010204081632653073,1.4197530864197532,-0.13043478260869568,-0.3732970027247956,-0.4801699716713881,0.02857142857142847,0.4285714285714286,2.0625,-inf,,,1.0,inf,,3.0,-inf,,,,,0.5555555555555556,0.5,0.19999999999999996,1,0,0,1
